Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nf","C_0805_2012Metric",-46.824900,-75.704700,-0.000000,bottom
"C2","1u","C_0805_2012Metric",-47.470060,-65.966340,270.000000,bottom
"R1","63k","R_0805_2012Metric",-47.475140,-61.897260,270.000000,bottom
"R2","470","R_0805_2012Metric",-67.241420,-78.447900,90.000000,bottom
"R3","470","R_0805_2012Metric",-74.160380,-66.675000,-0.000000,bottom
"R4","470","R_0805_2012Metric",-74.157840,-64.147700,-0.000000,bottom
"R5","470","R_0805_2012Metric",-74.175620,-61.592460,-0.000000,bottom
"R6","470","R_0805_2012Metric",-61.180980,-74.289920,-0.000000,bottom
"R7","470","R_0805_2012Metric",-61.191140,-76.819760,-0.000000,bottom
"R8","470","R_0805_2012Metric",-61.229240,-69.225160,-0.000000,bottom
"R9","470","R_0805_2012Metric",-61.198760,-59.052460,-0.000000,bottom
"R10","470","R_0805_2012Metric",-61.211460,-56.517540,-0.000000,bottom
"R11","470","R_0805_2012Metric",-61.158120,-61.597540,-0.000000,bottom
"R12","470","R_0805_2012Metric",-61.170820,-64.135000,-0.000000,bottom
"R13","470","R_0805_2012Metric",-61.211460,-71.762620,-0.000000,bottom
"SW1","SW_DIP_x01","SW_SPST_EVPBF",76.962000,-79.502000,180.000000,top
